cust_id,lookalikes
C0001,"[('C0071', 0.9999999999468924), ('C0025', 0.9999999999762451), ('C0112', 0.999999999994023)]"
C0002,"[('C0040', 0.9999999998125529), ('C0045', 0.9999999999452731), ('C0134', 0.999999999986471)]"
C0003,"[('C0076', 0.999999975559986), ('C0126', 0.9999999894523861), ('C0052', 0.9999999894523861)]"
C0004,"[('C0192', 0.9999999994506541), ('C0102', 0.999999999494308), ('C0108', 0.9999999998810423)]"
C0005,"[('C0007', 0.9999999976779262), ('C0106', 0.9999999987671407), ('C0159', 0.9999999999378554)]"
C0006,"[('C0126', 0.9999999432130708), ('C0181', 0.9999999517679141), ('C0076', 0.9999999658974945)]"
C0007,"[('C0005', 0.9999999976779262), ('C0175', 0.9999999978745827), ('C0159', 0.9999999983755298)]"
C0008,"[('C0183', 0.9999999974160476), ('C0016', 0.9999999976755671), ('C0189', 0.9999999979183274)]"
C0009,"[('C0164', 0.9999999732819291), ('C0170', 0.9999999935920741), ('C0121', 0.9999999971726309)]"
C0010,"[('C0019', 0.9999999988117602), ('C0199', 0.9999999998034539), ('C0062', 0.9999999999985959)]"
C0011,"[('C0096', 0.9999999992489063), ('C0171', 0.9999999999775934), ('C0168', 0.9999999999986104)]"
C0012,"[('C0195', 0.9999982993356322), ('C0190', 0.9999986158675432), ('C0187', 0.9999999862004926)]"
C0013,"[('C0129', 0.9999998811458347), ('C0032', 0.9999998985300718), ('C0190', 0.9999999799933322)]"
C0014,"[('C0127', 0.999999243677045), ('C0057', 0.9999996073355348), ('C0044', 0.9999999131301195)]"
C0015,"[('C0016', 0.999999965546035), ('C0034', 0.9999999669239733), ('C0185', 0.9999999857378765)]"
C0016,"[('C0183', 0.9999999901900947), ('C0189', 0.9999999911944814), ('C0008', 0.9999999976755671)]"
C0017,"[('C0119', 0.9999999927787986), ('C0051', 0.999999995422336), ('C0069', 0.9999999999344874)]"
C0018,"[('C0144', 0.999999813669834), ('C0116', 0.9999998297448335), ('C0049', 0.9999999829690626)]"
C0019,"[('C0037', 0.9999999990808051), ('C0132', 0.9999999993107045), ('C0149', 0.9999999998645643)]"
C0020,"[('C0065', 0.9999997957458557), ('C0194', 0.9999998037137939), ('C0036', 0.9999998541288554)]"
C0021,"[('C0200', 0.9999999898227407), ('C0128', 0.9999999943167127), ('C0088', 0.9999999977632101)]"
C0022,"[('C0090', 0.9999999988927023), ('C0123', 0.9999999990252214), ('C0180', 0.9999999999541473)]"
C0023,"[('C0166', 0.999999999860981), ('C0070', 0.999999999950695), ('C0198', 0.9999999999901173)]"
C0024,"[('C0058', 0.9999999980730373), ('C0157', 0.9999999989040402), ('C0030', 0.9999999989040402)]"
C0025,"[('C0001', 0.9999999999762451), ('C0112', 0.9999999999940994), ('C0071', 0.9999999999941745)]"
C0026,"[('C0047', 0.9999998704258134), ('C0059', 0.9999999447734647), ('C0194', 0.9999999999008776)]"
C0027,"[('C0145', 0.9999999941386869), ('C0106', 0.9999999975918641), ('C0173', 0.9999999987512379)]"
C0028,"[('C0092', 0.9999998124126998), ('C0177', 0.9999998430808009), ('C0093', 0.9999999421565479)]"
C0029,"[('C0122', 0.9999999998039121), ('C0160', 0.9999999999442137), ('C0038', 1.0)]"
C0030,"[('C0024', 0.9999999989040402), ('C0058', 0.9999999998835348), ('C0157', 1.0)]"
C0031,"[('C0129', 0.9999999993413204), ('C0137', 0.999999999717227), ('C0087', 1.0)]"
C0032,"[('C0087', 0.9999999973091261), ('C0031', 0.9999999973091261), ('C0129', 0.9999999993130948)]"
C0033,"[('C0036', 0.9999996629839237), ('C0065', 0.9999997393725721), ('C0072', 0.9999999416170009)]"
C0034,"[('C0156', 0.9999999883183375), ('C0185', 0.9999999961007436), ('C0094', 0.9999999989630294)]"
C0035,"[('C0049', 0.9999996226859122), ('C0018', 0.9999997659797937), ('C0144', 0.9999999972859471)]"
C0036,"[('C0020', 0.9999998541288554), ('C0072', 0.9999998851433145), ('C0065', 0.9999999950980343)]"
C0037,"[('C0141', 0.9999999992954194), ('C0149', 0.9999999996510371), ('C0132', 0.9999999999834857)]"
C0038,"[('C0122', 0.9999999998039121), ('C0160', 0.9999999999442137), ('C0038', 1.0)]"
C0039,"[('C0048', 0.9999953717113911), ('C0195', 0.9999981511662083), ('C0085', 0.99999869546953)]"
C0040,"[('C0134', 0.9999999998997404), ('C0045', 0.9999999999603936), ('C0161', 0.999999999979958)]"
C0041,"[('C0069', 0.999999989486072), ('C0017', 0.9999999910804327), ('C0051', 0.9999999992825624)]"
C0042,"[('C0067', 0.9999999576033693), ('C0125', 0.999999986241046), ('C0068', 0.9999999990188322)]"
C0043,"[('C0027', 0.9999999885594703), ('C0145', 0.9999999990757672), ('C0193', 0.999999999992599)]"
C0044,"[('C0124', 0.9999987929010002), ('C0057', 0.9999998898473715), ('C0014', 0.9999999131301195)]"
C0045,"[('C0002', 0.9999999999452731), ('C0040', 0.9999999999603936), ('C0134', 0.9999999999861646)]"
C0046,"[('C0035', 0.9999979650080272), ('C0154', 0.9999998882502594), ('C0098', 0.9999999754452478)]"
C0047,"[('C0024', 0.9999999120766904), ('C0050', 0.9999999806485869), ('C0059', 0.9999999843847778)]"
C0048,"[('C0085', 0.9999891528301939), ('C0039', 0.9999953717113911), ('C0151', 0.9999956009008611)]"
C0049,"[('C0144', 0.9999996839734289), ('C0116', 0.9999999204098566), ('C0018', 0.9999999829690626)]"
C0050,"[('C0030', 0.9999999637041957), ('C0024', 0.999999975222314), ('C0047', 0.9999999806485869)]"
C0051,"[('C0069', 0.9999999942615705), ('C0017', 0.999999995422336), ('C0041', 0.9999999992825624)]"
C0052,"[('C0003', 0.9999999894523861), ('C0076', 0.9999999971236679), ('C0126', 1.0)]"
C0053,"[('C0103', 0.9999999993440071), ('C0074', 0.9999999997185363), ('C0196', 0.9999999999280174)]"
C0054,"[('C0146', 0.9999989026081165), ('C0084', 0.9999996940679639), ('C0110', 0.9999998552607355)]"
C0055,"[('C0046', 0.9999963694417279), ('C0117', 0.9999973752360485), ('C0154', 0.9999975316047703)]"
C0056,"[('C0080', 0.9999997956128186), ('C0142', 0.999999800725856), ('C0136', 0.9999999495509545)]"
C0057,"[('C0124', 0.999999412035938), ('C0014', 0.9999996073355348), ('C0044', 0.9999998898473715)]"
C0058,"[('C0183', 0.9999999992995218), ('C0157', 0.9999999998835348), ('C0030', 0.9999999998835348)]"
C0059,"[('C0194', 0.9999999399949454), ('C0026', 0.9999999447734647), ('C0047', 0.9999999843847778)]"
C0060,"[('C0070', 0.9999999993530649), ('C0074', 0.9999999993658312), ('C0103', 0.999999999732768)]"
C0061,"[('C0197', 0.9999999994844139), ('C0141', 0.9999999997428874), ('C0100', 0.9999999997742031)]"
C0062,"[('C0019', 0.999999998728666), ('C0199', 0.9999999998352737), ('C0010', 0.9999999999985959)]"
C0063,"[('C0041', 0.999999959315136), ('C0081', 0.9999999873137095), ('C0167', 0.9999999975745695)]"
C0064,"[('C0069', 0.9999999763607238), ('C0170', 0.999999985686245), ('C0119', 0.9999999940914601)]"
C0065,"[('C0020', 0.9999997957458557), ('C0072', 0.9999999276975811), ('C0036', 0.9999999950980343)]"
C0066,"[('C0105', 0.9999997179750836), ('C0114', 0.9999998070263652), ('C0111', 0.9999999255782357)]"
C0067,"[('C0094', 0.9999999675888385), ('C0068', 0.9999999695215369), ('C0156', 0.9999999891525089)]"
C0068,"[('C0067', 0.9999999695215369), ('C0125', 0.9999999779114515), ('C0042', 0.9999999990188322)]"
C0069,"[('C0119', 0.9999999940889017), ('C0051', 0.9999999942615705), ('C0017', 0.9999999999344874)]"
C0070,"[('C0166', 0.9999999996460947), ('C0198', 0.9999999998966644), ('C0023', 0.999999999950695)]"
C0071,"[('C0001', 0.9999999999468924), ('C0112', 0.9999999999765481), ('C0025', 0.9999999999941745)]"
C0072,"[('C0036', 0.9999998851433145), ('C0065', 0.9999999276975811), ('C0033', 0.9999999416170009)]"
C0073,"[('C0053', 0.9999999972294075), ('C0086', 0.99999999928061), ('C0135', 0.9999999999927466)]"
C0074,"[('C0053', 0.9999999997185363), ('C0103', 0.9999999999219344), ('C0196', 0.9999999999312325)]"
C0075,"[('C0100', 0.9999999943422729), ('C0197', 0.9999999954386347), ('C0164', 0.9999999967335966)]"
C0076,"[('C0003', 0.999999975559986), ('C0052', 0.9999999971236679), ('C0126', 0.9999999971236679)]"
C0077,"[('C0163', 0.9999998869527256), ('C0006', 0.9999998971115189), ('C0181', 0.9999999897698306)]"
C0078,"[('C0054', 0.9999863580773944), ('C0138', 0.999998130576335), ('C0115', 0.9999999333034956)]"
C0079,"[('C0160', 0.999999998457589), ('C0176', 0.9999999990605524), ('C0139', 0.9999999993846688)]"
C0080,"[('C0097', 0.999999936057136), ('C0136', 0.9999999482513201), ('C0142', 0.9999999999676161)]"
C0081,"[('C0089', 0.9999999279859241), ('C0167', 0.9999999737941878), ('C0063', 0.9999999873137095)]"
C0082,"[('C0188', 0.9999999999915359), ('C0147', 0.9999999999952486), ('C0184', 1.0)]"
C0083,"[('C0153', 0.9999999998577084), ('C0152', 0.9999999999329544), ('C0165', 0.9999999999981739)]"
C0084,"[('C0054', 0.9999996940679639), ('C0146', 0.9999997555156593), ('C0110', 0.9999999701867621)]"
